"ID","NAME","SIDE","LOCKED","PTS","EQUIPMENT","CATEGORY(s)","30 Seconds","60 Seconds","ANATOMY LISTING CODE","SOUND30","SOUND60","VIDEO","CATEGORY_L","CATEGORY_O","CATEGORY_M","CATEGORY_T","CATEGORY_BUR","CATEGORY_TDR","X2"
"97","Hanging Pendulum Swings","1","FREE","3","Chinup Bar","BUR, L","3","4","L","EN97_HangingPendulumSwings30","EN97_HangingPendulumSwings60","97","1","0","0","0","1","0",""
"98","Sledgehammer Swings","2","FREE","2","Resistance Band","TDR, O","2","3","TDR","EN98_SledgehammerSwings30","EN98_SledgehammerSwings60","98","0","1","0","0","0","1","ss"
"99","Rocky Reverse Crunches","1","FREE","5","Bodyweight","L","4","NA","L","EN99_RockyReverseCrunches30","EN99_RockyReverseCrunches60","99","1","0","0","0","0","0",""
"100","Dueling Clocks","1","FREE","2","Bodyweight","M","2","3","M","EN100_DuelingClocks30","EN100_DuelingClocks60","100","0","0","1","0","0","0",""
"101","Crunch and Twists ","1","FREE","2","Bodyweight","T, O","2","3","T","EN101_CrunchAndTwists30","EN101_CrunchAndTwists60","101","0","1","0","1","0","0",""
"102","Upper Circle Crunches","2","FREE","2","Bodyweight","T, TDR","2","3","T","EN102_UpperCircleCrunches30","EN102_UpperCircleCrunches60","102","0","0","0","1","0","1","cd"
"103","Crunch Pulldowns","1","FREE","2","Resistance Band","T","2","3","T","EN103_CrunchPulldowns30","EN103_CrunchPulldowns60","103","0","0","0","1","0","0",""
"104","Hanging Corkscrews ","1","FREE","3","Chinup Bar","BUR, L","3","4","BUR","EN104_HangingCorkscrews30","EN104_HangingCorkscrews60","104","1","0","0","0","1","0",""
"105","Hanging Long Leg Wipers ","1","FREE","4","Chinup Bar","BUR, L, O","4","NA","BUR","EN105_HangingLongLegWipers30","EN105_HangingLongLegWipers60","105","1","1","0","0","1","0",""
"106","Dumbbell Thread the Needle","2","FREE","3","Dumbbell","TDR, O, M","3","4","O","EN106_DumbellThreadTheNeedle30","EN106_DumbellThreadTheNeedle60","106","0","1","1","0","0","1","ss"
"107","Single Arm Otis Ups","2","FREE","2","Dumbbell","T","2","3","T","EN107_SingleArmOtisUps30","EN107_SingleArmOtisUps60","107","0","0","0","1","0","0","ss"
